Complete Meal,Ingredients,Quantities
"Red Rice with Tomato Curry, Bottle Gourd Curry, Maalu Badun","Red rice, Tomato,  Coconut milk,  Chillies, Bottle gourd,  Chillies, Fish,  Oil","40, 50.0, 50.0, 10.0, 50.0, 10.0, 90.0, 15.0"
"Red Rice with Cabbage Mallung, Green Gram Curry, Coriander Sambol","Red rice, Cabbage,  Coconut,  Spices, Green gram,  pepper","40, 20.0, 65.0, 75.0, 50.0, 5.0"
"Red Rice with Pol Sambol, Drumstick Curry, Capsicum Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Drumstick,  Spices, Capsicum,  Coconut milk","40, 70.0, 15.0, 10.0, 3.0, 3.0, 50.0, 5.0, 50.0, 25.0"
"Red Rice with Garlic curry, Pumpkin curry, Jackfruit Mallum","Red rice, Garlic,  Coconut milk,  chillies,  curry leaves , Pumpkin, Jackfruit","40, 50.0, 70.0, 20.0, 10.0, 60.0, 60.0"
"Red Rice with Dhal Curry, Octopus Curry, Jackfruit Mallum","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Octopus,  Coconut milk,  Chillies, Jackfruit","40, 80.0, 40.0, 5.0, 5.0, 50.0, 25.0, 10.0, 60.0"
"Red Rice with Mustard Greens Curry, Sinhala Achcharu, Devilled Beef","Red rice, Mustard greens,  Coconut milk,  Chillies, Carrot,  onion,  green chillies,  Vinegar, Beef,  Oil","40, 50.0, 25.0, 10.0, 30.0, 35.0, 20.0, 10.0, 80.0, 30.0"
"Red Rice with Bean Curry, Pumpkin Leaves Curry, Sprats Fry","Red rice, Beans,  Coconut milk,  Spices, Pumpkin leaves,  Coconut milk,  Chillies, Dried fish,  Oil","40, 30.0, 40.0, 30.0, 50.0, 25.0, 20.0, 40.0, 20.0"
"Red Rice with Eggplant Curry, Green Gram Curry, Polos Mallum","Red rice, Eggplant,  Spices,  Coconut milk, Green gram, Jackfruit,  oil","40, 30.0, 12.0, 65.0, 50.0, 50.0, 5.0"
"Red Rice with Cabbage Mallung, Bean Curry, Beef Curry","Red rice, Cabbage,  Coconut,  Spices, Beans, Beef,  Coconut milk,  Chillies","40, 20.0, 50.0, 35.0, 30.0, 60.0, 25.0, 10.0"
"Red Rice with Capsicum Curry, Fish Curry, Kiri Hodi","Red rice, Capsicum,  Coconut milk,  Chillies, Fish,  Coconut milk,  Spices, curry leaves","40, 50.0, 25.0, 10.0, 50.0, 80.0, 3.0, 2.0"
"Red Rice with Papaya Curry, Cashew Curry, Capsicum Curry","Red rice, Papaya,  Coconut milk,  Spices, Cashew,  Coconut milk,  Chillies, Capsicum","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Chicken Curry, Tomato Curry, Tropical Salad","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Tomato,  Coconut milk,  Chillies, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 20.0, 5.0, 3.0, 50.0, 25.0, 10.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Pol Sambol, Devilled Chicken, Fish Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Chicken,  Curry leaves, Fish,  Spices","40, 70.0, 10.0, 30.0, 3.0, 3.0, 50.0, 12.0, 50.0, 3.0"
"Red Rice with Green Gram Curry, Egg Curry, potatoe cheese Balls","Red rice, Green gram,  Coconut milk,  Spices, Egg,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Red Rice with Cuttlefish Curry, Ash Plantain Curry, Dry Fish Curry","Red rice, Cuttlefish,  Coconut milk,  Spices, Ash plantain,  Chillies, Dry fish,  Coconut milk,  Chillies","40, 50.0, 50.0, 10.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Green Gram Curry, Spicy Crab, Devilled Beef","Red rice, Green gram,  Coconut milk,  Spices, Crab,  Oil,  chillies, Beef","40, 50.0, 25.0, 10.0, 70.0, 50.0, 15.0, 80.0"
"Red Rice with Snake Gourd Curry, Cuttlefish Curry, Garlic curry","Red rice, Snake gourd,  Coconut milk,  Spices, Cuttlefish, Garlic,  chillies,  curry leaves ","40, 50.0, 70.0, 20.0, 50.0, 50.0, 10.0, 5.0"
"Red Rice with Ala Badun, Fish Patties, Polos Ambula","Red rice, Potato,  Oil, onion, chilli, Fish,  Flour,  Oil, Jackfruit,  coconut milk,  chillies,  curry leaves","40, 40.0, 10.0, 30.0, 5.0, 40.0, 30.0, 30.0, 80.0, 30.0, 10.0, 10.0"
"Red Rice with Parippu, Carrot Curry, Shrimp Cutlets","Red rice, Dhal,  Coconut milk, Termeric powder, Carrot,  Spices, Shrimp,  Potatoes,  flour","40, 10.0, 30.0, 5.0, 50.0, 5.0, 30.0, 50.0, 20.0"
"Red Rice with Banana Blossom Curry, Ginger Chicken, Maalu Badun","Red rice, Banana blossom,  Coconut milk,  Spices, Chicken,  Ginger,  Chillies, Fish,  Oil","40, 20.0, 10.0, 5.0, 50.0, 25.0, 10.0, 90.0, 15.0"
"Red Rice with Gotu Kola Sambol, Thalapath Fish Curry, Leeks Curry","Red rice, Gotu Kola,  Coconut,  Onion, Thalapath fish,  Spices, Leeks,  Coconut milk,  Chillies","40, 10.0, 40.0, 15.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Potato Curry, Murunga Curry, Shrimp Cutlets","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Drumstick, Shrimp,  flour","40, 70.0, 55.0, 20.0, 5.0, 2.0, 50.0, 30.0, 20.0"
"Red Rice with Gotu Kola Sambol, Leeks Curry, Devilled Beef","Red rice, Gotu Kola,  Coconut,  Onion, Leeks,  Coconut milk,  Chillies, Beef,  Oil","40, 10.0, 15.0, 15.0, 50.0, 25.0, 15.0, 80.0, 30.0"
"Red Rice with Eggplant Curry, Vegetable Balls, Coriander Sambol","Red rice, Eggplant,  Spices,  Coconut milk, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper,  pepper","40, 30.0, 62.0, 40.0, 30.0, 50.0, 10.0, 5.0"
"Red Rice with Okra Curry, Batu Moju, Maalu Badun","Red rice, Okra,  Coconut milk,  Chillies, Eggplant,  garlic, Fish,  Oil","40, 50.0, 25.0, 10.0, 70.0, 15.0, 90.0, 15.0"
"Red Rice with Potato Curry, Capsicum Curry, Shrimp Cutlets","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Capsicum,  Coconut milk,  Chillies, Shrimp,  flour","40, 70.0, 30.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 30.0, 20.0"
"Red Rice with Vegetable Balls, Batu Moju, Tropical Salad","Red rice, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Eggplant,  garlic, Mango,  Apple,  Pineapple,  Cucumber","40, 60.0, 50.0, 10.0, 70.0, 15.0, 30.0, 20.0, 20.0, 30.0"
"Red Rice with Fish Patties, Mint Sambol, Shrimp Cutlets","Red rice, Fish,  Flour,  Oil, Mint,  Coconut,  pepper, Shrimp,  Potatoes,  flour","40, 40.0, 30.0, 30.0, 60.0, 30.0, 5.0, 30.0, 50.0, 20.0"
"Red Rice with Green Gram Curry, Carrot curry, Seeni Sambol","Red rice, Green gram,  Coconut milk,  Spices, Carrot,  chillies, curry leaves, Onion,  Sugar","40, 50.0, 45.0, 10.0, 50.0, 15.0, 5.0, 50.0, 5.0"
"Red Rice with Banana Blossom Curry, Carrot Curry, Jaffna Crab Curry","Red rice, Banana blossom,  Coconut milk,  Spices, Carrot, Crab,  Coconut milk,  Chillies","40, 20.0, 30.0, 10.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Fish Curry, Ala Badun","Red rice, Fish,  Goraka,  Spices, Fish,  Coconut milk, curry leaves, Potato,  Oil, onion","40, 80.0, 10.0, 18.0, 50.0, 20.0, 2.0, 40.0, 10.0, 30.0"
"Red Rice with Leeks Curry, Egg Curry, Kiri Hodi","Red rice, Leeks,  Coconut milk,  Chillies, Egg, Coconut milk","40, 50.0, 50.0, 20.0, 50.0, 60.0"
"Red Rice with Beetroot Curry, Radish Sambol, Sprats Fry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Radish,  pepper, Dried fish,  Oil,  Chillies","40, 30.0, 50.0, 5.0, 2.0, 60.0, 5.0, 40.0, 20.0, 10.0"
"Red Rice with Garlic curry, Coconut Sambol, Mango Chutney","Red rice, Garlic,  Coconut milk,  chillies,  curry leaves ,  Chili,  Onion, Mango,  Vinegar,  sugar","40, 50.0, 70.0, 10.0, 5.0, 15.0, 20.0, 40.0, 10.0, 10.0"
"Red Rice with Gotu Kola Sambol, Egg Curry, Carrot Sambol","Red rice, Gotu Kola,  Coconut,  Onion, Egg,  Coconut milk,  Chillies, Carrot,  pepper","40, 10.0, 15.0, 15.0, 50.0, 35.0, 10.0, 50.0, 5.0"
"Red Rice with Bathala Curry, Polos Mallum, Shrimp Cutlets","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Jackfruit,  oil, Shrimp,  Potatoes,  flour","40, 50.0, 50.0, 5.0, 3.0, 50.0, 5.0, 30.0, 50.0, 20.0"
"Red Rice with Spinach Curry, Papaya Curry, Pumpkin Leaves Curry","Red rice, Spinach,  Coconut milk,  Spices, Papaya,  Coconut milk,  Spices, Pumpkin leaves,  Chillies","40, 30.0, 65.0, 30.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with Chickpea Curry, Batu Moju, Kiri Hodi","Red rice, Chickpea,  Coconut milk,  Chillies, Eggplant,  garlic","40, 50.0, 85.0, 10.0, 70.0, 15.0"
"Red Rice with Gotu Kola Sambol, Soya Meat Curry, Bottle Gourd Curry","Red rice, Gotu Kola,  Coconut,  Onion, Soya meat,  Chillies, Bottle gourd,  Chillies","40, 10.0, 65.0, 15.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Okra Curry, Garlic curry, Jackfruit Mallum","Red rice, Okra,  Coconut milk,  Chillies, Garlic,  Coconut milk,  curry leaves , Jackfruit","40, 50.0, 25.0, 20.0, 50.0, 50.0, 5.0, 60.0"
"Red Rice with Drumstick Curry, Bitter Leaf Curry, Dhal Vade","Red rice, Drumstick,  Coconut milk,  Spices, Bitter leaves,  Chillies, Lentils,  Oil","40, 50.0, 45.0, 5.0, 50.0, 25.0, 50.0, 30.0"
"Red Rice with Devilled Fish, Tomato Curry, Indian Fish Curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Tomato,  Coconut milk,  Chillies, Fish","40, 50.0, 15.0, 5.0, 20.0, 50.0, 55.0, 10.0, 60.0"
"Red Rice with Lotus Root Curry, Octopus Curry, Capsicum Curry","Red rice, Lotus root,  Coconut milk,  Chillies, Octopus, Capsicum","40, 50.0, 75.0, 30.0, 50.0, 50.0"
"Red Rice with Fish Curry, Bottle Gourd Curry, Sprats Fry","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Bottle gourd,  Chillies, Dried fish,  Oil","40, 50.0, 45.0, 3.0, 2.0, 50.0, 20.0, 40.0, 20.0"
"Red Rice with Chickpea Curry, Jaffna Crab Curry, Shrimp Cutlets","Red rice, Chickpea,  Coconut milk,  Chillies, Crab,  Coconut milk,  Chillies, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 20.0"
"Red Rice with Sweet Corn Curry, Simmered Fish Roe, Indian Fish Curry","Red rice, Sweet corn,  Coconut milk,  Chillies, Fish,  Oil,  flour, Fish,  Coconut milk","40, 50.0, 25.0, 20.0, 70.0, 30.0, 20.0, 60.0, 30.0"
"Red Rice with Banana Blossom Curry, Chickpea Curry, Jaffna Crab Curry","Red rice, Banana blossom,  Coconut milk,  Spices, Chickpea,  Chillies, Crab,  Coconut milk,  Chillies","40, 20.0, 35.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Bottle Gourd Curry, Cauliflower Pickle, Jaffna Crab Curry","Red rice, Bottle gourd,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic, Crab,  Coconut milk","40, 50.0, 25.0, 20.0, 100.0, 50.0, 20.0, 50.0, 25.0"
"Red Rice with Dhal Curry, Dry Fish Curry, Mustard Greens Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Dry fish,  Coconut milk,  Chillies, Mustard greens","40, 80.0, 10.0, 5.0, 5.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Green Banana Curry, Pumpkin Leaves Curry, Coconut Sambol","Red rice, Green banana,  Coconut milk,  Chillies, Pumpkin leaves, Coconut,  Chili,  Onion","40, 50.0, 50.0, 20.0, 50.0, 50.0, 15.0, 20.0"
"Red Rice with Kappa Masala, Tropical Salad, Polos Ambula","Red rice, Cassava,  Coconut, Mango,  Apple,  Carrot,  Pineapple,  Cucumber, Jackfruit,  chillies,  curry leaves","40, 60.0, 55.0, 30.0, 20.0, 30.0, 20.0, 30.0, 80.0, 10.0, 10.0"
"Red Rice with Pineapple Curry, Cauliflower Pickle, Shrimp Cutlets","Red rice, Pineapple,  Coconut milk,  Spices, Cauliflower,  Oil,  Garlic, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0, 30.0, 50.0, 20.0"
"Red Rice with Cabbage Mallung, Fish Patties, Dry Fish Curry","Red rice, Cabbage,  Coconut,  Spices, Fish,  Flour,  Oil, Dry fish,  Coconut milk,  Chillies","40, 20.0, 10.0, 5.0, 40.0, 30.0, 30.0, 50.0, 25.0, 10.0"
"Red Rice with Chicken Curry, Murunga Curry, Pumpkin Leaves Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Drumstick,  Coconut milk, Pumpkin leaves,  Chillies","40, 50.0, 45.0, 15.0, 3.0, 50.0, 25.0, 50.0, 10.0"
"Red Rice with Pol Sambol, Fish Curry, Seeni Sambol","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Fish,  Spices, curry leaves,  Sugar","40, 70.0, 10.0, 60.0, 3.0, 3.0, 50.0, 3.0, 2.0, 5.0"
"Red Rice with Soya Meat Curry, Green Pea Curry, Kiri Hodi","Red rice, Soya meat,  Coconut milk,  Chillies, Green pea,  Coconut milk,  Chillies","40, 50.0, 85.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Devilled Fish, Potato Curry, Indian Fish Curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Potato,  Coconut milk,  Spices, Turmeric Powder, Fish","40, 50.0, 15.0, 10.0, 20.0, 20.0, 60.0, 10.0, 2.0, 60.0"
"Red Rice with Eggplant Curry, Kohila Curry, Gotu Kola Sambol","Red rice, Eggplant,  Spices,  Coconut milk, Kohila,  Coconut milk,  Chillies, Gotu Kola,  Onion","40, 30.0, 2.0, 25.0, 50.0, 25.0, 10.0, 10.0, 15.0"
"Red Rice with Vegetable Balls, Kochchi Sambol, Simmered Fish Roe","Red rice, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, Green chili,  Coconut, Fish,  Oil,  flour","40, 30.0, 50.0, 10.0, 10.0, 30.0, 70.0, 30.0, 20.0"
"Red Rice with Vegetable Cutlets, Murukku, Coriander Sambol","Red rice, Carrot,  Potatoes,  Chillies, flour, Coriander,  Coconut,  pepper","40, 30.0, 40.0, 30.0, 50.0, 60.0, 30.0, 5.0"
"Red Rice with Gotu Kola Sambol, Coriander Sambol, Kiri Hodi","Red rice, Gotu Kola,  Coconut,  Onion, Coriander,  pepper","40, 10.0, 105.0, 15.0, 60.0, 5.0"
"Red Rice with Fish Ambul Thiyal, Carrot curry, Cauliflower Pickle","Red rice, Fish,  Goraka,  Spices, Carrot,  Coconut milk,  chillies, curry leaves, Cauliflower,  Oil,  Garlic","40, 80.0, 10.0, 10.0, 50.0, 20.0, 10.0, 5.0, 100.0, 50.0, 20.0"
"Red Rice with Coriander Sambol, Sinhala Achcharu, Spicy Crab","Red rice, Coriander,  Coconut,  pepper, Carrot,  onion,  green chillies,  Vinegar, Crab,  Oil","40, 60.0, 30.0, 5.0, 30.0, 35.0, 25.0, 10.0, 70.0, 20.0"
"Red Rice with Seer Fish Curry, potatoe cheese Balls, Polos Mallum","Red rice, Seer fish,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Jackfruit,  Coconut,  oil","40, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0, 50.0, 30.0, 5.0"
"Red Rice with Dry Fish Curry, Capsicum Curry, Mint Sambol","Red rice, Dry fish,  Coconut milk,  Chillies, Capsicum,  Chillies, Mint,  pepper","40, 50.0, 80.0, 10.0, 50.0, 10.0, 60.0, 5.0"
"Red Rice with Kiri Hodi, Spicy Crab, Polos Ambula","Red rice, Coconut milk, Crab,  Oil,  chillies, Jackfruit,  curry leaves","40, 90.0, 70.0, 20.0, 20.0, 80.0, 10.0"
"Red Rice with Ash Plantain Curry, Beetroot curry, Simmered Fish Roe","Red rice, Ash plantain,  Coconut milk,  Chillies, Beetroot,  chillies, curry leaves, Fish,  Oil,  flour","40, 50.0, 55.0, 10.0, 70.0, 10.0, 10.0, 70.0, 30.0, 20.0"
"Red Rice with Cuttlefish Curry, Ginger Chicken, Collard Greens Curry","Red rice, Cuttlefish,  Coconut milk,  Spices, Chicken,  Ginger,  Chillies, Collard greens,  Coconut milk,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Jaffna Crab Curry, Murukku, Indian Fish Curry","Red rice, Crab,  Coconut milk,  Chillies, flour,  Chillies,  Coconut milk","40, 50.0, 25.0, 20.0, 110.0, 20.0, 30.0"
"Red Rice with Bottle Gourd Curry, Batu Moju, Shrimp Cutlets","Red rice, Bottle gourd,  Coconut milk,  Chillies, Eggplant,  garlic, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 70.0, 15.0, 30.0, 50.0, 20.0"
"Red Rice with Pumpkin Leaves Curry, Gotu Kola Sambol, Sprats Fry","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Gotu Kola,  Coconut,  Onion, Dried fish,  Oil","40, 50.0, 25.0, 20.0, 10.0, 15.0, 15.0, 40.0, 20.0"
"Red Rice with Pineapple Curry, Lotus Root Curry, Vegetable Balls","Red rice, Pineapple,  Coconut milk,  Spices, Lotus root,  Coconut milk,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Fish Curry, Seeni Sambol, Sprats Fry","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Onion,  Sugar,  chillii, Dried fish,  Oil","40, 50.0, 20.0, 3.0, 2.0, 50.0, 5.0, 15.0, 40.0, 20.0"
"Red Rice with Bitter Gourd Salad, Fenugreek Curry, Fish Patties","Red rice, Bitter gourd,  Coconut, Fenugreek,  Coconut milk,  Chillies, Fish,  Flour,  Oil","40, 50.0, 35.0, 50.0, 25.0, 10.0, 40.0, 30.0, 30.0"
"Red Rice with Thalapath Fish Curry, Prawn Curry, Mango Chutney","Red rice, Thalapath fish,  Coconut milk,  Spices, Prawn,  Coconut milk,  Chillies, Mango,  Vinegar,  sugar","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 40.0, 10.0, 10.0"
"Red Rice with Sweet Corn Curry, Egg Curry, Simmered Fish Roe","Red rice, Sweet corn,  Coconut milk,  Chillies, Egg,  Coconut milk, Fish,  Oil","40, 50.0, 25.0, 20.0, 70.0, 25.0, 70.0, 30.0"
"Red Rice with Banana Blossom Curry, Murunga Curry, Collard Greens Curry","Red rice, Banana blossom,  Coconut milk,  Spices, Drumstick, Collard greens,  Coconut milk,  Chillies","40, 20.0, 35.0, 15.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Tomato Curry, Ginger Chicken, Gotu Kola Sambol","Red rice, Tomato,  Coconut milk,  Chillies, Chicken,  Ginger,  Chillies, Gotu Kola,  Onion","40, 50.0, 40.0, 10.0, 50.0, 25.0, 10.0, 10.0, 15.0"
"Red Rice with Fish Ambul Thiyal, Cuttlefish Curry, Simmered Fish Roe","Red rice, Fish,  Goraka,  Spices, Cuttlefish,  Coconut milk, Fish,  Oil,  flour","40, 80.0, 10.0, 20.0, 50.0, 25.0, 70.0, 30.0, 20.0"
"Red Rice with Ash Plantain Curry, Vegetable Balls, Murukku","Red rice, Ash plantain,  Coconut milk,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper, flour,  Chillies","40, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0, 50.0, 20.0"
"Red Rice with Ala Badun, Cucumber Sambol, Indian Fish Curry","Red rice, Potato,  Oil, onion, chilli, Cucumber,  Coconut,  pepper, Fish,  chillies","40, 40.0, 10.0, 30.0, 5.0, 60.0, 60.0, 5.0, 60.0, 10.0"
"Red Rice with Dhal Curry, Ginger Chicken, Tender Jackfruit Fry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Chicken,  Ginger,  Chillies, Jackfruit,  Oil","40, 80.0, 10.0, 5.0, 5.0, 50.0, 25.0, 10.0, 90.0, 20.0"
"Red Rice with Parippu, Elumas Curry, Spicy Crab","Red rice, Dhal,  Coconut milk, Termeric powder, Goat,  Spices, curry leaves, Crab,  Oil,  chillies","40, 10.0, 30.0, 5.0, 50.0, 5.0, 2.0, 70.0, 20.0, 10.0"
"Red Rice with Mustard Greens Curry, Radish Sambol, Simmered Fish Roe","Red rice, Mustard greens,  Coconut milk,  Chillies, Radish,  Coconut,  pepper, Fish,  Oil,  flour","40, 50.0, 25.0, 10.0, 60.0, 30.0, 5.0, 70.0, 30.0, 20.0"
"Red Rice with Brinjal Moju, Tomato Curry, Pumpkin curry","Red rice, Eggplant,  Vinegar,  Spices, Tomato,  Coconut milk,  Chillies, Pumpkin,  chillies, curry leaves","40, 30.0, 40.0, 30.0, 50.0, 45.0, 10.0, 60.0, 10.0, 5.0"
"Red Rice with Okra Curry, Ginger Chicken, Pineapple Pickle","Red rice, Okra,  Coconut milk,  Chillies, Chicken,  Ginger, Pineapple,  pepper","40, 50.0, 25.0, 20.0, 50.0, 25.0, 50.0, 10.0"
"Red Rice with potatoe cheese Balls, Coriander Sambol, Jaffna Crab Curry","Red rice, cheese,  Potatoes,  pepper, Coriander,  Coconut,  pepper, Crab,  Coconut milk,  Chillies","40, 30.0, 60.0, 10.0, 60.0, 30.0, 5.0, 50.0, 25.0, 10.0"
"Red Rice with Bathala Curry, Mustard Greens Curry, Jaffna Crab Curry","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Mustard greens,  Coconut milk,  Chillies, Crab,  Chillies","40, 50.0, 20.0, 5.0, 3.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Okra Curry, Beetroot curry, Tender Jackfruit Fry","Red rice, Okra,  Coconut milk,  Chillies, Beetroot,  Coconut milk, curry leaves, Jackfruit,  Oil","40, 50.0, 25.0, 20.0, 70.0, 30.0, 10.0, 90.0, 20.0"
"Red Rice with Mango Curry, Green Banana Curry, Pineapple Pickle","Red rice, Mango,  Coconut milk,  Spices, Green banana,  Coconut milk,  Chillies, Pineapple,  pepper","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with Bottle Gourd Curry, Mustard Greens Curry, Pumpkin curry","Red rice, Bottle gourd,  Coconut milk,  Chillies, Mustard greens,  Coconut milk,  Chillies, Pumpkin, curry leaves","40, 50.0, 45.0, 20.0, 50.0, 25.0, 10.0, 60.0, 5.0"
"Red Rice with Prawn Curry, Garlic curry, Tender Jackfruit Fry","Red rice, Prawn,  Coconut milk,  Chillies, Garlic,  Coconut milk,  curry leaves , Jackfruit,  Oil","40, 50.0, 25.0, 20.0, 50.0, 20.0, 5.0, 90.0, 20.0"
"Red Rice with Dhal Curry, Murukku, Cauliflower Pickle","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, flour,  Chillies, Cauliflower,  Oil,  Garlic","40, 80.0, 10.0, 5.0, 5.0, 50.0, 20.0, 100.0, 50.0, 20.0"
"Red Rice with Chicken Curry, Devilled Fish, Radish Sambol","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Fish,  Chili, Onion, Radish,  Coconut,  pepper","40, 50.0, 20.0, 5.0, 8.0, 50.0, 5.0, 20.0, 60.0, 30.0, 5.0"
"Red Rice with Tomato Curry, Green Banana Curry, Chickpea Salad","Red rice, Tomato,  Coconut milk,  Chillies, Green banana,  Coconut milk,  Chillies, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 60.0, 30.0, 30.0"
"Red Rice with Parippu, Bitter Gourd Salad, Jaffna Crab Curry","Red rice, Dhal,  Coconut milk, Termeric powder, Bitter gourd, Crab,  Coconut milk,  Chillies","40, 10.0, 45.0, 5.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Dhal Curry, Cabbage Mallung, Cashew Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Cabbage, Cashew,  Coconut milk,  Chillies","40, 80.0, 20.0, 10.0, 5.0, 20.0, 50.0, 25.0, 10.0"
"Red Rice with Cabbage Mallung, Coconut Sambol, Jackfruit Mallum","Red rice, Cabbage,  Coconut,  Spices,  Chili,  Onion, Jackfruit","40, 20.0, 90.0, 5.0, 15.0, 20.0, 60.0"
"Red Rice with Ginger Chicken, Ulundu Wade, Pumpkin curry","Red rice, Chicken,  Ginger,  Chillies, Urad,  flour,  Oil, Pumpkin,  Coconut milk, curry leaves","40, 50.0, 25.0, 20.0, 30.0, 40.0, 20.0, 60.0, 20.0, 5.0"
"Red Rice with Parippu, Fenugreek Curry, Polos Ambula","Red rice, Dhal,  Coconut milk, Termeric powder, Fenugreek,  Coconut milk,  Chillies, Jackfruit,  curry leaves","40, 10.0, 40.0, 5.0, 50.0, 25.0, 20.0, 80.0, 10.0"
"Red Rice with Pol Sambol, Vegetable Cutlets, Indian Fish Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Carrot,  Potatoes,  Chillies, Fish","40, 80.0, 15.0, 10.0, 3.0, 3.0, 30.0, 40.0, 10.0, 60.0"
"Red Rice with Eggplant Curry, Mango Curry, Tropical Salad","Red rice, Eggplant,  Spices,  Coconut milk, Mango, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 30.0, 12.0, 35.0, 50.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Gotu Kola Sambol, Kiri Hodi, Jackfruit Mallum","Red rice, Gotu Kola,  Coconut,  Onion, Jackfruit","40, 10.0, 105.0, 15.0, 60.0"
"Red Rice with Malu Mirisata, Okra Curry, Polos Mallum","Red rice, Fish,  Chili,  curry leaves, Okra,  Coconut milk, Jackfruit,  Coconut,  oil","40, 50.0, 20.0, 3.0, 50.0, 25.0, 50.0, 30.0, 5.0"
"Red Rice with Green Banana Curry, Seeni Sambol, Beetroot curry","Red rice, Green banana,  Coconut milk,  Chillies, Onion,  Sugar, Beetroot,  Coconut milk, curry leaves","40, 50.0, 25.0, 25.0, 50.0, 5.0, 70.0, 30.0, 10.0"
"Red Rice with Papaya Curry, Seeni Sambol, Sprats Fry","Red rice, Papaya,  Coconut milk,  Spices, Onion,  Sugar,  chillii, Dried fish,  Oil","40, 50.0, 25.0, 10.0, 50.0, 5.0, 15.0, 40.0, 20.0"
"Red Rice with Papaya Curry, Bitter Leaf Curry, Tender Jackfruit Fry","Red rice, Papaya,  Coconut milk,  Spices, Bitter leaves,  Chillies, Jackfruit,  Oil","40, 50.0, 50.0, 10.0, 50.0, 10.0, 90.0, 20.0"
