Breakfast,Lunch,Dinner,Combined Ingredients,Total Energy (Kcal),Total Protein (g),Total Fat (g),Total Carbohydrates (g),Total Magnesium (mg),Total Sodium (mg),Total Potassium (mg),Total Saturated Fatty Acids (mg),Total Monounsaturated Fatty Acids (mg),Total Polyunsaturated Fatty Acids (mg),Total Free Sugar (g),Total Starch (g)
"Red Rice with Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls",Chicken Fried Rice with Tapioca Chips,Roast Bread with Chicken Curry," Chili,  pepper, Rice,  sugar, Green banana,  onion, curry leaves, leeks,  Chicken,  Potatoes, Fish, Tapioca, Spices, Crab, Onion, cheese, Chicken,  Oil,  Coconut milk,  Curry leaves, Red rice,  Salt, Flour,  carrot,  Flour",2500.7,119.16699999999999,143.473,217.051,1146.002,909.5820000000001,5970.5,26481.788,20611.952999999998,7228.361,16.335,181.664
"Red Rice with Gotu Kola Sambol, Bitter Gourd Curry, Gotu Kola Sambol, Dhal Vade","Red Rice with Fish Curry, Papaya Curry, Mustard Greens Curry, Coriander Sambol, Sprats Fry","Red Rice with Murunga Curry, Green Banana Curry, Prawn Curry"," pepper, Drumstick, Mustard greens, Dried fish,  Coconut, Green banana, Bitter gourd, curry leaves,  Chillies, Prawn, Lentils, Gotu Kola, Fish,  chillie,  Onion,  Oil,  Coconut milk,  Spices, Red rice, Papaya",2505.5999999999995,74.188,198.96800000000002,170.732,872.936,257.43600000000004,5192.4,37745.024000000005,17121.811999999998,6092.204,13.772000000000002,139.0
"Red Rice with Fenugreek Curry, Pumpkin Leaves Curry, Ulundu Wade, Fish Curry, Batu Moju","Red Rice with Bean Curry, Mango Chutney, Devilled Beef","Red Rice with Drumstick Curry, Pineapple Curry, Dry Fish Curry, Tender Jackfruit Fry","Fenugreek,  chillies, Drumstick, Beans,  sugar, Dry fish,  garlic, Mango,  Chillies, curry leaves, Eggplant,  flour, Fish, Beef, Pumpkin leaves,  Vinegar, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice, Urad, Pineapple",2507.2,90.108,188.312,213.456,868.972,187.292,4682.0,56104.144,19892.2,7107.616,63.052,109.668
"Red Rice with Brinjal Moju, Tomato Curry, Kochchi Sambol","Red Rice with Sweet Corn Curry, Mango Chutney, Kiri Hodi, Polos Ambula, Ginger Chicken","Vegetable Biryani with Chicken Curry, Devilled Fish, Ginger Chicken"," Chili, Rice,  sugar,  Ginger, Mango, onion,  Chillies, curry leaves, leeks, Eggplant, Fish, Sweet corn,  curry leaves, Green chili, Coconut milk,  Vinegar, Jackfruit, Chicken,  Coconut milk,  Spices, Red rice, Tomato,  carrot",2507.6,94.64,193.208,255.322,1120.458,236.382,6480.0,81894.06,20002.528,8218.698,67.432,159.302
"Red Rice with Brinjal Moju, Soya Meat Curry, Green Banana Curry, Simmered Fish Roe, Indian Fish Curry","Red Rice with Elumas Curry, Bean Curry, Fish Cutlets, Mango Chutney","Red Rice with Green Gram Curry, Ash Plantain Curry, Pumpkin Leaves Curry","Beans,  sugar, Mango, Green banana,  Chillies, curry leaves, Eggplant,  Potatoes,  flour, Fish, Goat, Ash plantain, Pumpkin leaves,  Vinegar,  Oil,  Coconut milk,  Spices, Green gram, Red rice, Soya meat",2513.2,90.42800000000001,191.716,211.752,852.1600000000001,4496.144,4653.2,57894.128000000004,20470.232,8094.144,56.456,139.22
"Red Rice with Drumstick Curry, Jaffna Crab Curry, Coconut Sambol",Vegetable Fried Rice with Fish Cutlets,"Fish Biryani with Chicken Curry, Ginger Chicken, Ginger Chicken","Fish, Chicken,  Chili, Rice,  Ginger, Drumstick,  Coconut milk, carrot,  Spices, Crab,  Chillies, Red rice, leeks, onion, curry leaves,  Potatoes,  Fish,  Onion",2517.6,128.74200000000002,152.704,269.642,1812.2240000000002,521.0540000000001,9023.0,67874.41,33867.542,11551.851999999999,24.928,215.41
Kurakkan Roti with Dhal Curry,"Red Rice with Pol Sambol, Seer Fish Curry, Coriander Sambol, Indian Fish Curry",Roast Bread with Dhal Curry," Chili,  pepper, Garlic,  sugar, Termeric powder, Coconut, Dhal, Fish, Coriander,  Onion, Seer fish, Lime,  Oil, Millet,  Coconut milk,  Spices, Red rice, Flour,  Flour",2519.1,90.96000000000001,167.058,272.076,1113.133,175.855,7639.799999999999,61229.852,20576.251,8319.143,20.272000000000002,226.212
"Red Rice with Papaya Curry, Soya Meat Curry, Murukku","Red Rice with Seer Fish Curry, Fish Curry, Polos Mallum, Batu Moju","Red Rice with Drumstick Curry, Cuttlefish Curry, Beetroot curry, Simmered Fish Roe, Ginger Chicken"," chillies, Drumstick,  Ginger,  garlic, Cuttlefish,  Chillies, curry leaves, flour, Eggplant,  flour, Fish,  oil, Beetroot, Seer fish, Jackfruit, Chicken,  Oil,  Coconut milk,  Spices, Red rice, Soya meat, Papaya",2521.2,110.47200000000001,195.24800000000002,183.828,988.344,4547.388000000001,5626.0,57866.584,20663.1,8725.251999999999,24.296,142.852
"Red Rice with Green Gram Curry, Cuttlefish Curry, Spicy Crab","Red Rice with Eggplant Curry, Potato Curry, Banana Blossom Curry, Soya Meat Curry, Tapioca Chips","Red Rice with Cabbage Mallung, Bitter Gourd Salad, Tomato Curry, Chickpea Salad","Potato,  chillies, Chickpeas, Turmeric Powder, Cabbage,  Coconut, Cuttlefish, Banana blossom, Bitter gourd, curry leaves,  Chillies, Eggplant, Tapioca, Crab,  Onion,  Oil,  Carrot,  Coconut milk,  Spices, Green gram, Red rice, Soya meat, Tomato,  Salt",2523.2,54.379999999999995,228.816,166.024,938.072,314.32,5060.4,54362.051999999996,21400.252,7214.951999999999,17.468,122.844
"Red Rice with Chicken Curry, potatoe cheese Balls, Pumpkin curry, Dhal Vade",Seafood Fried Rice with potatoe cheese Balls,Pittu with Lunu Miris," chillies,  Chili,  pepper, Rice,  Oninon,  Coconut, curry leaves,  Potatoes, Lentils, Spices, Pumpkin, Onion, shrimp, cheese, Lime, Chicken,  Oil,  Coconut milk,  Spices, Red rice, crab,  Salt, Rice flour",2523.4,128.378,154.8275,203.01749999999998,1070.8129999999999,2262.3340000000003,4997.629999999999,31335.599,18661.0425,6192.5115,17.052,157.81650000000002
"Red Rice with Chicken Curry, Eggplant Curry, Cashew Curry","Red Rice with Fish Curry, Devilled Fish, Cuttlefish Curry, Dhal Vade, Spicy Crab","Red Rice with Dhal Curry, Carrot Curry, Radish Sambol, Seeni Sambol"," chillii,  Chili,  pepper, Radish, Termeric powder, Cuttlefish, Carrot, Dhal,  Chillies, curry leaves, Eggplant, Lentils, Fish, Crab, Onion, Cashew, Chicken,  Oil,  Sugar,  Coconut milk,  Spices, Red rice",2524.0,96.664,167.136,261.18,1149.184,330.436,7048.0,58467.156,30128.708000000002,10350.876,58.328,177.224
Roast Bread with Kiri Hodi,"Chicken Fried Rice with Chicken Curry, Chicken Curry, Devilled Chicken, Devilled Fish",Coconut Roti with Thalapath Fish Curry,"Fish,  Oil, Spices,  Chili,  onion, Rice, Coconut,  Coconut milk, Thalapath fish,  Spices, curry leaves, leeks,  Chicken,  sugar, Flour,  carrot,  Flour",2525.2,96.17949999999999,223.07999999999998,215.02749999999997,1142.9,265.3165,6160.8060000000005,92780.3,26129.335,8614.075,24.055999999999997,171.7505
"Red Rice with Potato Curry, Papaya Curry, Cashew Curry, Beef Curry, Murukku","Red Rice with Bitter Gourd Curry, Bottle Gourd Curry, Seer Fish Curry, Prawn Curry, Indian Fish Curry",Chicken Fried Rice with Vegetable Cutlets,"Potato, Rice, Turmeric Powder, Bottle gourd,  onion, Bitter gourd, curry leaves,  Chillies, leeks,  Chicken, flour,  Potatoes, Prawn, Fish, Spices, Beef, Cashew, Seer fish,  Coconut milk,  Spices, Red rice,  carrot, Papaya",2531.2,119.84800000000001,162.578,208.744,1373.716,380.836,6913.2,44804.21200000001,37509.93,11800.21,19.042,170.844
"Red Rice with Egg Curry, Ulundu Wade, Carrot curry, Devilled Beef",Chicken Fried Rice with Ginger Chicken,"Red Rice with Sweet Corn Curry, Mango Chutney, Kiri Hodi, Polos Ambula, Ginger Chicken","Rice,  sugar,  Ginger, Carrot, Mango,  onion,  Chillies, curry leaves, leeks,  Chicken,  flour, Spices, Beef, Egg, Sweet corn,  curry leaves, Coconut milk,  Vinegar, Jackfruit, Chicken,  Oil,  Coconut milk, Red rice, Urad,  carrot",2531.6,113.15400000000001,138.904,270.002,1096.258,339.138,6051.4,41703.644,19663.864,8115.898,61.456,162.114
"Red Rice with Sesame Seed Sambol, Fish Patties, Collard Greens Curry, Dhal Vade","Red Rice with Devilled Chicken, Sesame Seed Sambol, Coconut Sambol","Red Rice with Devilled Chicken, Pineapple Curry, Coriander Sambol, Radish Sambol, Cauliflower Pickle"," Garlic, Cauliflower,  Chili,  pepper, Radish, Coconut,  Chillies, Lentils, Collard greens, Fish,  Flour,  Onion, Onion, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Sesame seed, Pineapple",2532.8,90.384,191.788,187.784,644.296,138.656,4306.0,37166.788,9104.536,4586.8279999999995,15.288,136.51600000000002
"Red Rice with Devilled Fish, Octopus Curry, Carrot curry","Red Rice with Eggplant Curry, Potato Curry, Banana Blossom Curry, Soya Meat Curry, Tapioca Chips","Chicken Biryani with Chicken Curry, Devilled Chicken, Ginger Chicken","Potato,  Chili, Rice, Turmeric Powder,  Ginger, Octopus, Carrot, Banana blossom,  onion, curry leaves,  Chillies,  Chicken, Eggplant, Fish, Tapioca, Onion,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Soya meat,  Salt",2532.8,101.71799999999999,202.53799999999998,230.482,1505.7060000000001,364.438,7760.4,82228.622,27017.356,10434.862000000001,23.201999999999998,179.75799999999998
"Red Rice with Sesame Seed Sambol, Fish Patties, Collard Greens Curry, Dhal Vade",Seafood Fried Rice with Ginger Chicken,"Red Rice with Devilled Fish, Murunga Curry, Cashew Curry, Lotus Root Curry"," Chili, Rice, Drumstick,  Oninon,  Ginger,  Chillies, curry leaves, Lentils, Collard greens, Fish, Spices,  Onion, Onion, Cashew, Lotus root, shrimp, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Sesame seed, crab,  Flour",2534.4,137.06199999999998,119.328,219.228,1186.9940000000001,474.478,5515.4,7259.772,28385.728,9193.57,13.597999999999999,182.38799999999998
"Red Rice with Chicken Curry, Cuttlefish Curry, Mango Curry, Mustard Greens Curry, Polos Mallum",Egg Biryani with Chickpea Salad,"Red Rice with Fenugreek Curry, Seer Fish Curry, Capsicum Curry, Fish Curry","Fenugreek, Chickpeas, Rice, Mustard greens, Cuttlefish, Mango,  onion,  Chillies, curry leaves,  oil, Fish, Capsicum,  Egg, Seer fish, Jackfruit, Chicken,  Carrot,  Coconut milk,  Cabbage,  Spices, Red rice",2535.8,122.71600000000001,152.298,227.56400000000002,1328.7759999999998,562.138,6549.8,43412.814,29390.291999999998,10994.652,28.272,156.28
Roast Bread with Sprats Fry,Egg Biryani with Chickpea Salad,"Red Rice with Green Pea Curry, Egg Curry, Mint Sambol, Jaffna Crab Curry, Kappa Masala","Chickpeas, Rice,  pepper,  sugar, Green pea,  Coconut,  onion, curry leaves,  Chillies, Crab,  Egg, Egg, Cassava, Mint,  Oil,  Carrot,  Coconut milk,  Cabbage,  Spices, Red rice, Flour",2540.7,106.446,122.559,280.394,944.376,553.608,5513.3,25975.404000000002,20557.909,8301.535,16.939,187.096
"Red Rice with Bitter Gourd Curry, Snake Gourd Curry, Sweet Corn Curry, Maalu Badun, Jackfruit Mallum",Seafood Fried Rice with potatoe cheese Balls,Kottu Roti with Devilled Chicken,"Rice,  pepper,  Oninon, Chilli Powder, Bitter gourd, carrot,  Chillies, curry leaves, leeks,  Chicken,  Potatoes, Snake gourd, Fish, Spices, Sweet corn, Roti, Onion, shrimp, cheese, Jackfruit,  Oil, Coconut Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, crab",2543.1000000000004,120.03899999999999,158.046,185.644,1067.7659999999998,1776.537,5025.476,20963.183999999997,17898.628,6375.396000000001,15.414,146.411
Kurakkan Roti with Dhal Curry,Vegetable Fried Rice with Green Pea Curry,Vegetable Kottu with Chicken Curry,"Chicken,  leeks, Dhal, Rice,  Carrot, Millet,  Coconut milk, carrot,  Spices, onion, curry leaves,  Chillies, leeks,  Chilli, Green pea, Flour,  Flour, Termeric powder",2544.7,117.05099999999999,121.723,329.885,1585.73,251.334,8797.5,52393.594000000005,28154.86,10048.99,22.369,281.31600000000003
"Red Rice with Potato Curry, Sesame Seed Sambol, Coriander Sambol, Kiri Hodi, Polos Ambula","Red Rice with Carrot Curry, Pumpkin Leaves Curry, Dry Fish Curry, Polos Mallum",Chicken Fried Rice with Devilled Chicken,"Potato,  Chili,  pepper, Rice, Turmeric Powder, Dry fish, Carrot,  onion, curry leaves,  Chillies, leeks,  Chicken,  oil, Spices, Pumpkin leaves,  Onion, Jackfruit,  Coconut milk,  Spices, Red rice, Sesame seed,  carrot",2545.0,105.32,161.022,233.562,1329.33,296.392,7420.6,39806.308000000005,24604.186,8945.042000000001,24.122,178.86
"Red Rice with Brinjal Moju, Maalu Badun, Devilled Beef","Red Rice with Potato Curry, Papaya Curry, Cashew Curry, Beef Curry, Murukku","Red Rice with Bitter Gourd Curry, Snake Gourd Curry, Sweet Corn Curry, Maalu Badun, Jackfruit Mallum","Potato,  chillies, Turmeric Powder, Bitter gourd, curry leaves,  Chillies, flour, Eggplant, Snake gourd, Fish, Beef, Sweet corn, Cashew,  Vinegar, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice, Papaya",2550.0,80.05199999999999,214.51600000000002,143.596,737.3,156.964,4185.2,42495.364,26568.372,8224.936,13.42,113.63199999999999
"Red Rice with Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls",Seafood Fried Rice with Cashew Curry,"Red Rice with Pineapple Curry, Sesame Seed Sambol, Pineapple Pickle"," Chili,  pepper, Rice,  Oninon, Green banana, curry leaves,  Chillies,  Potatoes, Fish, Spices, Crab, Pineapple,  Onion, Onion, Cashew, shrimp, cheese, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Sesame seed, crab,  Flour",2550.0,138.172,137.008,220.99599999999998,1353.638,1096.7060000000001,5533.2,28573.116,46130.812000000005,13571.498000000001,20.128,176.47
"Red Rice with Dhal Curry, Cabbage Mallung, Green Gram Curry",Vegetable Fried Rice with Chicken Curry,"Red Rice with Dhal Curry, Malu Mirisata, Bitter Gourd Salad, Green Gram Curry, Tropical Salad"," Chili, Rice,  Pineapple, Cabbage,  Apple, Termeric powder, Mango, Dhal, Bitter gourd, onion, carrot, curry leaves, leeks, Fish,  curry leaves,  Onion, Chicken,  Carrot,  Cucumber,  Coconut milk,  Spices, Green gram, Red rice",2550.2,122.102,166.052,294.95399999999995,1543.308,343.106,9498.0,83448.628,28234.15,10746.202,34.316,229.832
"Red Rice with Gotu Kola Sambol, Beef Curry, Polos Ambula","Red Rice with Fish Curry, Papaya Curry, Mustard Greens Curry, Coriander Sambol, Sprats Fry","Red Rice with Potato Curry, Chickpea Curry, Jaffna Crab Curry, Cucumber Sambol, Polos Ambula","Potato, Cucumber,  pepper, Mustard greens, Turmeric Powder, Dried fish,  Coconut,  Chillies, curry leaves, Gotu Kola, Fish, Chickpea, Beef, Crab,  curry leaves,  Onion, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice, Papaya",2551.2,80.464,221.92399999999998,163.57999999999998,894.0039999999999,318.052,5452.0,55875.672,15607.028,6198.828000000001,17.772,120.376
"Red Rice with Jackfruit Curry, Gotu Kola Sambol, Cuttlefish Curry, Bitter Leaf Curry, Radish Sambol","Red Rice with Elumas Curry, Banana Blossom Curry, Snake Gourd Curry, Fish Cutlets, Simmered Fish Roe","Red Rice with Dhal Curry, Sesame Seed Sambol, Sprats Fry"," Chili,  pepper, Bitter leaves, Radish, Dried fish, Termeric powder, Cuttlefish, Banana blossom, Dhal, curry leaves,  Chillies,  Potatoes,  flour, Snake gourd, Gotu Kola, Fish, Goat,  Onion, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice, Sesame seed",2552.4,115.76400000000001,175.56799999999998,232.608,1147.508,4543.54,7146.4,58944.119999999995,21674.576,8934.74,16.5,185.512
"Red Rice with Ash Plantain Curry, Fish Patties, Garlic curry","Red Rice with Chicken Curry, Carrot Curry, Bitter Gourd Curry, Pineapple Curry","Vegetable Fried Rice with Devilled Chicken, Devilled Fish, potatoe cheese Balls"," chillies,  Chili, Rice,  pepper, Garlic, Carrot, Bitter gourd, onion, carrot,  Chillies, curry leaves, leeks,  Potatoes, Fish,  Flour, Ash plantain, cheese, Chicken,  Oil,  Coconut milk,  curry leaves ,  Spices, Red rice, Pineapple",2562.6,118.378,164.012,215.804,1112.9940000000001,1566.96,6111.0,39100.084,20366.778,7610.646,22.27,164.192
"Red Rice with Thalapath Fish Curry, Bitter Leaf Curry, Mustard Greens Curry, Polos Mallum, Kappa Masala",Vegetable Fried Rice with potatoe cheese Balls,String Hoppers with Coconut Sambol," Chili, Rice, Bitter leaves,  pepper, Mustard greens, Coconut, onion, carrot,  Chillies, curry leaves, leeks,  Potatoes,  oil, Thalapath fish, Cassava,  Onion, cheese, Jackfruit,  Coconut milk,  Spices, Red rice, Rice flour",2570.95,88.173,179.6765,257.6195,1076.339,1534.8285,5463.432000000001,57636.1685,20820.698,7148.4395,22.439499999999995,188.3185
"Red Rice with Bathala Curry, Ulundu Wade, Coconut Sambol, Sinhala Achcharu, Ginger Chicken","Red Rice with Mango Curry, Prawn Curry, Tapioca Chips, Kiri Hodi, Maalu Badun",Seafood Fried Rice with Ginger Chicken," Chili, Rice,  Oninon, Sweet potato,  Ginger, Carrot, Mango, crab, curry leaves,  Chillies,  green chillies, Prawn,  flour, Fish, Tapioca, Spices,  Onion, shrimp,  Vinegar, Chicken,  Oil,  Coconut milk,  Spices, Red rice, Urad,  Salt",2572.0,148.674,143.32,230.008,1323.13,618.302,6417.0,39563.252,24792.72,8253.462,24.241999999999997,169.216
"Red Rice with Cuttlefish Curry, Ala Badun, Sesame Seed Sambol, Coriander Sambol","Red Rice with Chicken Curry, Malu Mirisata, Devilled Chicken, Cauliflower Pickle","Red Rice with Bitter Gourd Curry, Tapioca Chips, potatoe cheese Balls, Cucumber Sambol","Potato,  Garlic, Cauliflower,  Chili, Cucumber,  pepper, Cuttlefish, Bitter gourd, onion,  Potatoes, Fish, Tapioca,  curry leaves,  Onion, Onion, cheese, Chicken,  Oil,  Coconut milk,  Spices, Red rice, Sesame seed,  Salt",2572.4,82.324,217.48399999999998,178.548,896.1999999999999,707.612,5457.6,54703.788,18590.332,6193.679999999999,15.719999999999999,132.704
"Red Rice with Drumstick Curry, Seeni Sambol, Sinhala Achcharu, Sprats Fry",Vegetable Fried Rice with Chicken Curry,"Red Rice with Collard Greens Curry, Ginger Chicken, Indian Fish Curry"," chillii, Rice, Drumstick, Dried fish,  Ginger, Carrot, onion, carrot, curry leaves,  Chillies, leeks, Collard greens, Fish, Onion,  Vinegar, Chicken,  Oil,  Sugar,  Coconut milk,  Spices, Red rice",2573.3999999999996,106.84199999999998,200.556,243.24599999999998,1137.244,332.502,6399.6,82970.688,24545.826,8568.97,63.828,157.264
"Red Rice with Gotu Kola Sambol, Papaya Curry, Tapioca Chips, Polos Ambula",Lamprais with Chicken Curry,"Red Rice with Mango Chutney, Simmered Fish Roe, Polos Ambula"," chillies, Rice,  Meat,  sugar,  Coconut,  coconut milk, Mango,  flour, Gotu Kola, Fish, Tapioca,  curry leaves,  Onion,  Vinegar, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice,  Salt, Papaya",2579.2,107.088,194.096,261.68600000000004,915.952,4460.969999999999,5250.4,83472.284,21939.728,7754.304,64.028,181.09199999999998
"Red Rice with Gotu Kola Sambol, Bitter Gourd Curry, Gotu Kola Sambol, Dhal Vade","Red Rice with Fish Ambul Thiyal, Jackfruit Curry, Papaya Curry, Green Pea Curry, Devilled Beef",Pol Roti with Fish Ambul Thiyal,"Green pea,  Coconut,  Goraka, Coconut, Bitter gourd, curry leaves,  Chillies, Lentils, Gotu Kola, Fish, Beef,  chillie,  Onion, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice,  Flour, Papaya",2580.2,68.419,221.53799999999998,170.888,1068.022,268.358,5562.3,52603.214,18102.480000000003,7855.748,16.959,132.916
"Red Rice with Chicken Curry, Carrot Curry, Tropical Salad","Red Rice with Sesame Seed Sambol, Fish Patties, Collard Greens Curry, Dhal Vade","Red Rice with Devilled Fish, Chickpea Curry, Polos Mallum, Indian Fish Curry"," Chili,  Pineapple,  Apple, Carrot, Mango,  Chillies, Lentils, Collard greens, Fish, Chickpea,  oil,  Onion, Onion, Jackfruit, Chicken,  Oil,  Cucumber,  Coconut milk,  Spices,  Curry leaves, Red rice, Sesame seed,  Flour",2580.4,74.672,208.748,175.072,478.592,144.152,3128.0,37185.108,8857.460000000001,3918.8160000000003,24.852,116.48400000000001
Roast Bread with Spicy Crab,Vegetable Fried Rice with Devilled Fish,"Red Rice with Pol Sambol, Thalapath Fish Curry, Prawn Curry, Mango Chutney, Devilled Beef"," Chili, Rice, Garlic,  sugar, Mango, Coconut, onion, carrot, curry leaves, leeks, Prawn, Fish, Thalapath fish, Beef,  Onion,  Vinegar, Lime,  Oil,  Coconut milk,  Spices, Red rice, Flour",2580.9,81.382,151.23000000000002,247.4,1067.737,455.038,5658.6,22272.004999999997,18948.27,7052.841,60.661,168.77599999999998
"Red Rice with Chicken Curry, potatoe cheese Balls, Pumpkin curry, Dhal Vade","Red Rice with Bitter Gourd Curry, Thalapath Fish Curry, Mustard Greens Curry, Fish Curry",Chicken Fried Rice with Ginger Chicken," chillies,  pepper, Rice, Mustard greens,  Ginger,  onion, Bitter gourd, curry leaves,  Chillies, leeks,  Chicken,  Potatoes, Lentils, Fish, Spices, Thalapath fish, Pumpkin, cheese, Chicken,  Oil,  Coconut milk,  Spices, Red rice,  carrot",2582.4,127.77799999999999,155.552,228.526,1370.178,837.77,7076.6,40015.524,24956.856,8849.59,18.624000000000002,180.854
"Red Rice with Jackfruit Curry, Pineapple Curry, Bitter Leaf Curry, Ulundu Wade, Jackfruit Mallum","Red Rice with Carrot Curry, Chickpea Curry, Dry Fish Curry, Tender Jackfruit Fry, Indian Fish Curry",Vegetable Fried Rice with Vegetable Balls," chillies, Rice, Bitter leaves,  pepper, Dry fish, Carrot,  leeks, onion, carrot, curry leaves,  Chillies, leeks,  Potatoes,  flour, Fish, Chickpea, Jackfruit,  Oil,  Jackfruit,  Coconut milk,  Spices, Red rice, Urad, Pineapple",2588.4,87.304,172.81,232.776,1229.864,290.79999999999995,6155.2,39410.176,23738.989999999998,7924.174,24.157999999999998,158.504
"Red Rice with Jaffna Crab Curry, Gotu Kola Sambol, Coconut Sambol","Chicken Fried Rice with Wambatu Moju, Cashew Curry, Ginger Chicken","Red Rice with Chicken Curry, Green Gram Curry, Lotus Root Curry, Shrimp Cutlets"," Chili, Rice,  Ginger,  Coconut,  onion, Shrimp,  Chillies, curry leaves, leeks,  Chicken, Eggplant,  Potatoes,  flour, Gotu Kola, Spices, Crab,  Onion, Cashew, Lotus root,  Vinegar, Chicken,  Coconut milk,  Spices, Green gram, Red rice, tomato sause,  carrot",2590.6,119.30799999999999,141.242,268.948,1269.52,378.48999999999995,7023.4,46708.903999999995,48579.308000000005,15104.706,23.908,217.584
"Red Rice with Potato Curry, Lotus Root Curry, Okra Curry, Dhal Vade","Red Rice with Ala Badun, Fish Cutlets, Spicy Crab, Simmered Fish Roe",Coconut Roti with Dhal Curry,"Potato,  chillies, chilli, Turmeric Powder, Termeric powder, Coconut, Dhal, onion, curry leaves,  Chillies,  Potatoes,  flour, Lentils, Fish, Okra, Crab, Lotus root,  Oil,  Coconut milk,  Spices, Red rice,  Flour",2592.0,104.15199999999999,167.48399999999998,230.98000000000002,978.28,4571.396000000001,6167.968000000001,40775.152,19688.079999999998,7682.1320000000005,12.856,195.188
Coconut Roti with Dhal Curry,"Fish Biryani with Chicken Curry, Devilled Chicken, Devilled Fish, Chickpea Salad",Kottu Roti with Chicken Curry,"Chickpeas,  Chili, Rice, Chilli Powder,  Fish, Termeric powder, Coconut, Dhal, onion, carrot, curry leaves, leeks,  Chicken, Roti, Chicken,  Carrot, Coconut Oil,  Coconut milk,  Cabbage,  Spices,  Flour",2594.6,111.99799999999999,189.47,258.026,1284.767,276.96,7518.544,78168.143,26603.727,9229.581,28.540000000000003,182.203
"Red Rice with Pol Sambol, Thalapath Fish Curry, Prawn Curry, Mango Chutney, Devilled Beef","Red Rice with Potato Curry, Fish Patties, Coconut Sambol, Batu Moju","Chicken Biryani with Devilled Chicken, Devilled Fish, Ginger Chicken, Ginger Chicken","Potato,  Chili, Rice, Turmeric Powder, Garlic,  sugar,  Ginger,  garlic, Mango, Coconut,  onion, curry leaves,  Chicken, Eggplant, Prawn, Fish, Thalapath fish, Beef,  Onion,  Vinegar, Lime,  Oil,  Coconut milk,  Spices, Red rice,  Flour",2595.8,119.49600000000001,143.576,264.78,1393.1619999999998,327.524,7268.0,41016.798,25950.487999999998,8853.074,63.22,176.346
"Red Rice with Cabbage Mallung, Carrot Curry, Okra Curry, Tapioca Chips",Egg Fried Rice with Ginger Chicken,Seafood Fried Rice with Fish Cutlets,"Rice,  Oninon, Cabbage,  Ginger,  Coconut, Carrot,  onion,  Chillies, curry leaves, leeks,  Potatoes, Fish, Tapioca, Spices, Okra,  Egg, carrort, shrimp, Chicken,  Oil,  Coconut milk,  Spices, Red rice, crab,  Salt",2596.2,164.96,103.076,269.12800000000004,1770.48,864.424,8768.2,28737.34,35309.64,12483.632000000001,24.810000000000002,221.862
String Hoppers with Jackfruit Curry,"Red Rice with Banana Blossom Curry, Cabbage Mallung, Leeks Curry, Seeni Sambol, Sprats Fry","Red Rice with Gotu Kola Sambol, Ash Plantain Curry, Okra Curry, Tender Jackfruit Fry","Cabbage, Dried fish,  Coconut, Banana blossom, curry leaves,  Chillies, Gotu Kola, Leeks, Okra, Ash plantain,  Onion, Onion, Jackfruit,  Oil,  Sugar,  Coconut milk,  Spices, Red rice, Rice flour",2600.55,53.989,238.20850000000002,211.91950000000003,681.6835000000001,149.94150000000002,4172.482,73512.408,11496.48,5046.838,57.412,139.32850000000002
"Red Rice with Bean Curry, Mango Chutney, Devilled Beef","Red Rice with Bottle Gourd Curry, Fish Patties, Ginger Chicken, Garlic curry, Sprats Fry","Red Rice with Ala Badun, Fish Patties, Cauliflower Pickle","Potato,  Garlic, Cauliflower,  chillies, chilli, Bottle gourd, Beans,  sugar, Garlic, Dried fish,  Ginger, Mango, onion,  Chillies, Fish, Beef,  Vinegar, Chicken,  Oil,  Coconut milk,  curry leaves ,  Spices, Red rice,  Flour",2600.8,81.38000000000001,198.12400000000002,189.59999999999997,667.144,168.04,4116.4,38909.82,14466.376,5358.048,57.036,118.48400000000001
"Red Rice with Octopus Curry, Murukku, Polos Mallum","Vegetable Fried Rice with Chicken Curry, Tapioca Chips, Ginger Chicken","Red Rice with Bitter Gourd Curry, Tapioca Chips, potatoe cheese Balls, Cucumber Sambol","Cucumber, Rice,  pepper,  Ginger,  Coconut, Octopus, Bitter gourd, onion, carrot,  Chillies, curry leaves, leeks, flour,  Potatoes,  oil, Tapioca, cheese, Jackfruit, Chicken,  Oil,  Coconut milk,  Spices, Red rice,  Salt",2608.0,100.75999999999999,206.99200000000002,241.918,1206.738,868.646,6928.799999999999,81950.266,23650.579999999998,8577.842,31.008,181.46200000000002
